"PEAT_DEPTH","elev","aspect","slope","gdd","gsl","rain_ann","rain_daily","raindays_10mm","raindays_1mm","temp_mean","temp_min","temp_max"
45,5878,333.996654155489,0.73960178465667,675.2442,180.23464,1526.82118,4.1830717260274,60.91804,198.47358,5.06848666666667,2.137185,7.99248
222,5901,29.102510258075,0.526204004826522,631.268558,175.131168,1449.39593,3.97094775342466,61.792044,201.09115,4.82473683333333,2.0351675,7.63666833333333
105,5759,167.022604662182,0.894822667540907,638.38755,176.0208,1481.24625,4.05820890410959,60.9039,200.19475,4.86912083333333,2.04802083333333,7.70754166666667
201,5800,19.550054325048,0.57635494138261,638.25468,176.05008,1493.6064,4.09207232876712,60.35994,199.882,4.87036833333333,2.04475833333333,7.71334166666667
245,5834,133.798166935548,0.468191306984497,624.334418,174.347328,1443.83823,3.95572117808219,61.586124,201.34045,4.78543183333333,2.0172425,7.58096833333333
30,6819,113.119815431048,0.961377796237834,560.8166,166.9168,1295.1324,3.54830794520548,63.5367,205.8064,4.41169166666667,1.86900833333333,7.025525
40,6703,149.113253877886,0.567875514778603,575.807968,168.674528,1349.40828,3.69700898630137,62.509524,204.4678,4.501661,1.90408833333333,7.16146833333333
22,6782,102.159595728527,0.746871588576295,568.84976,167.85936,1335.2174,3.6581298630137,62.66778,204.931,4.46087833333333,1.887975,7.10100833333333
202,5840,151.124556603772,0.660275744407342,620.56166,173.89456,1431.4435,3.92176301369863,61.85118,201.6925,4.76268666666667,2.00918333333333,7.546125
107,6737,111.437449216166,0.946662645397309,567.76757,167.73152,1327.16655,3.63607273972603,62.86446,205.08925,4.4540025,1.88542916666667,7.09014166666667
10,7008,92.6324348689869,0.410696500065595,559.94718,166.770536,1296.027384,3.55075995616438,63.096692,205.615332,4.40774333333333,1.87100866666667,7.018269
72,6857,126.195002454843,1.00383078012049,566.558432,167.517712,1248.37965,3.42021821917808,62.979678,205.363774,4.42978216666667,1.89282483333333,7.038471
25,6950,76.9666436740854,0.50612234983282,560.696714,166.904544,1312.58259,3.59611668493151,63.024252,205.55785,4.41257383333333,1.8689525,7.02878833333333
300,5754,74.6591092359949,0.284965099081969,649.082414,177.241744,1494.88209,4.09556736986301,61.026852,199.70035,4.93043216666667,2.07491083333333,7.795705
73,6668,130.646779509368,0.797609370863643,560.86892,166.962984,1264.801698,3.46521013150685,63.463674,205.974418,4.39639783333333,1.867121,6.99769383333333
142,5518,357.126561502407,0.913845961948187,654.84963,177.98968,1522.01545,4.16990534246575,60.15714,198.86875,4.96706416666667,2.08340416666667,7.85585833333333
55,5796,142.614711942031,0.588252013884194,624.153412,174.313952,1438.93202,3.94227950684931,61.770516,201.4555,4.783724,2.01760333333333,7.57724833333333
